title,author,genre,ranking,release_date,page_numbers,description
To Kill a Mockingbird,Harper Lee,Classic,4.8,1960-07-11,324,'To Kill a Mockingbird' is a classic novel by Harper Lee released in 1960. It has a rating of 4.8/5.
1984,George Orwell,Dystopian,4.7,1949-06-08,328,'1984' is a dystopian novel by George Orwell released in 1949. It has a rating of 4.7/5.
Pride and Prejudice,Jane Austen,Romance,4.6,1813-01-28,279,'Pride and Prejudice' is a romance novel by Jane Austen released in 1813. It has a rating of 4.6/5.
The Hobbit,J.R.R. Tolkien,Fantasy,4.7,1937-09-21,310,'The Hobbit' is a fantasy novel by J.R.R. Tolkien released in 1937. It has a rating of 4.7/5.
The Great Gatsby,F. Scott Fitzgerald,Classic,4.4,1925-04-10,180,'The Great Gatsby' is a classic novel by F. Scott Fitzgerald released in 1925. It has a rating of 4.4/5.
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,4.9,1997-06-26,309,'Harry Potter and the Sorcerer's Stone' is a fantasy novel by J.K. Rowling released in 1997. It has a rating of 4.9/5.
The Catcher in the Rye,J.D. Salinger,Classic,4.3,1951-07-16,277,'The Catcher in the Rye' is a classic novel by J.D. Salinger released in 1951. It has a rating of 4.3/5.
The Da Vinci Code,Dan Brown,Thriller,4.2,2003-03-18,454,'The Da Vinci Code' is a thriller novel by Dan Brown released in 2003. It has a rating of 4.2/5.
The Hunger Games,Suzanne Collins,Dystopian,4.8,2008-09-14,374,'The Hunger Games' is a dystopian novel by Suzanne Collins released in 2008. It has a rating of 4.8/5.
The Lord of the Rings,J.R.R. Tolkien,Fantasy,4.9,1954-07-29,1178,'The Lord of the Rings' is a fantasy novel by J.R.R. Tolkien released in 1954. It has a rating of 4.9/5.
